)0+_06 Small-body initial data (WARNING: Do not delete this line!!)
style   Asteroid
1000  d 3.0  m 1.98332180493e-08
1001  d 3.0  m 1.98332180493e-08
1002  d 3.0  m 1.98332180493e-08
1003  d 3.0  m 1.98332180493e-08
1004  d 3.0  m 1.98332180493e-08
1005  d 3.0  m 1.98332180493e-08
1006  d 3.0  m 1.98332180493e-08
1007  d 3.0  m 1.98332180493e-08
1008  d 3.0  m 1.98332180493e-08
1009  d 3.0  m 1.98332180493e-08
1010  d 3.0  m 1.83769961509e-08
1011  d 3.0  m 1.83769961509e-08
1012  d 3.0  m 1.83769961509e-08
1013  d 3.0  m 1.83769961509e-08
1014  d 3.0  m 1.83769961509e-08
1015  d 3.0  m 1.83769961509e-08
1016  d 3.0  m 1.83769961509e-08
1017  d 3.0  m 1.83769961509e-08
1018  d 3.0  m 1.83769961509e-08
1019  d 3.0  m 1.83769961509e-08
1020  d 3.0  m 2.15887840303e-08
1021  d 3.0  m 2.15887840303e-08
1022  d 3.0  m 2.15887840303e-08
1023  d 3.0  m 2.15887840303e-08
1024  d 3.0  m 2.15887840303e-08
1025  d 3.0  m 2.15887840303e-08
1026  d 3.0  m 2.15887840303e-08
1027  d 3.0  m 2.15887840303e-08
1028  d 3.0  m 2.15887840303e-08
1029  d 3.0  m 2.15887840303e-08
1030  d 3.0  m 2.19334258516e-08
1031  d 3.0  m 2.19334258516e-08
1032  d 3.0  m 2.19334258516e-08
1033  d 3.0  m 2.19334258516e-08
1034  d 3.0  m 2.19334258516e-08
1035  d 3.0  m 2.19334258516e-08
1036  d 3.0  m 2.19334258516e-08
1037  d 3.0  m 2.19334258516e-08
1038  d 3.0  m 2.19334258516e-08
1039  d 3.0  m 2.19334258516e-08
1040  d 3.0  m 1.53788441967e-08
1041  d 3.0  m 1.53788441967e-08
1042  d 3.0  m 1.53788441967e-08
1043  d 3.0  m 1.53788441967e-08
1044  d 3.0  m 1.53788441967e-08
1045  d 3.0  m 1.53788441967e-08
1046  d 3.0  m 1.53788441967e-08
1047  d 3.0  m 1.53788441967e-08
1048  d 3.0  m 1.53788441967e-08
1049  d 3.0  m 1.53788441967e-08
1050  d 3.0  m 1.73253229224e-08
1051  d 3.0  m 1.73253229224e-08
1052  d 3.0  m 1.73253229224e-08
1053  d 3.0  m 1.73253229224e-08
1054  d 3.0  m 1.73253229224e-08
1055  d 3.0  m 1.73253229224e-08
1056  d 3.0  m 1.73253229224e-08
1057  d 3.0  m 1.73253229224e-08
1058  d 3.0  m 1.73253229224e-08
1059  d 3.0  m 1.73253229224e-08
1060  d 3.0  m 2.76757563752e-08
1061  d 3.0  m 2.76757563752e-08
1062  d 3.0  m 2.76757563752e-08
1063  d 3.0  m 2.76757563752e-08
1064  d 3.0  m 2.76757563752e-08
1065  d 3.0  m 2.76757563752e-08
1066  d 3.0  m 2.76757563752e-08
1067  d 3.0  m 2.76757563752e-08
1068  d 3.0  m 2.76757563752e-08
1069  d 3.0  m 2.76757563752e-08
1070  d 3.0  m 2.21016522271e-08
1071  d 3.0  m 2.21016522271e-08
1072  d 3.0  m 2.21016522271e-08
1073  d 3.0  m 2.21016522271e-08
1074  d 3.0  m 2.21016522271e-08
1075  d 3.0  m 2.21016522271e-08
1076  d 3.0  m 2.21016522271e-08
1077  d 3.0  m 2.21016522271e-08
1078  d 3.0  m 2.21016522271e-08
1079  d 3.0  m 2.21016522271e-08
1080  d 3.0  m 1.97330057467e-08
1081  d 3.0  m 1.97330057467e-08
1082  d 3.0  m 1.97330057467e-08
1083  d 3.0  m 1.97330057467e-08
1084  d 3.0  m 1.97330057467e-08
1085  d 3.0  m 1.97330057467e-08
1086  d 3.0  m 1.97330057467e-08
1087  d 3.0  m 1.97330057467e-08
1088  d 3.0  m 1.97330057467e-08
1089  d 3.0  m 1.97330057467e-08
1090  d 3.0  m 2.63872087436e-08
1091  d 3.0  m 2.63872087436e-08
1092  d 3.0  m 2.63872087436e-08
1093  d 3.0  m 2.63872087436e-08
1094  d 3.0  m 2.63872087436e-08
1095  d 3.0  m 2.63872087436e-08
1096  d 3.0  m 2.63872087436e-08
1097  d 3.0  m 2.63872087436e-08
1098  d 3.0  m 2.63872087436e-08
1099  d 3.0  m 2.63872087436e-08
1100  d 3.0  m 3.26320732774e-08
1101  d 3.0  m 3.26320732774e-08
1102  d 3.0  m 3.26320732774e-08
